original,predicted,correct
GyuJ,EyuJ,False
ORIPrV,ORIPrV,True
Pbfykgi,Pbfykgi,True
Urarceu,Urarceu,True
ztrxAmH,ztrxAnH,False
HvND,kxMD,False
OkUVK,OkUVK,True
Gxbfbos,Gxbfbos,True
Bztlk,Bztlk,True
Wumsqd,Wumsqd,True
Cbwmkl,Cbwmkl,True
WsgFKdP,wsoFKdP,False
Eezdad,Eezdad,True
Zqgt,Zqgt,True
mqur,nqup,False
Wcpsrkw,Wcpsrkw,True
xmxrECr,AnxrECr,False
Eoek,Eoek,True
Ourm,Ourm,True
MJrXIac,NJrXIac,False
gMYh,BMYh,False
QcKDGeq,QcKbGeq,False
Wpjy,Wpjy,True
Mfoh,Mfoh,True
Rdat,Rdat,True
Iygo,Iygo,True
Rlsqzer,Rlsqzer,True
Tlnoob,Tlnoob,True
Lgadc,Lgadc,True
Smmmfo,Smmmfo,True
Hfwrfw,Hfwrfw,True
XIbVIQP,XibViQP,False
Kbvjwx,Kbvjwx,True
XUPtpM,XUPtpM,True
Sznbrmt,Sznbrmt,True
Eqjx,Eqjx,True
mIyKi,qtyKi,False
uAvvo,uAvvo,True
eTyyUKw,gTyyUKw,False
Vmwh,Vmwh,True
Xacedg,Xacedg,True
EtZt,Etzt,False
fHBWh,fHBWh,True
Zfjro,Zfjro,True
fkvo,Ekvo,False
MndVQX,NndVQX,False
rteCAzt,FfeCAzt,False
Uxjfnbw,Uxjfnbw,True
vgRtL,vgRL,False
Ywkccmf,Ywkccmf,True
UZFHcD,UZFHcsD,False
wNGvi,uNEvi,False
IIwyHh,ITwyTh,False
Mevpi,Mevpi,True
Nfgubla,Nfgubla,True
Jsur,Jsur,True
Clkajhn,Clkajhn,True
gipjHCH,giPjHCH,False
Rfaii,Rfaii,True
RUxg,RUxg,True
Blyozv,Blyozv,True
Zrbk,Zrbk,True
Ktrbd,Ktrbd,True
DmWiQ,DmMiQ,False
Ibxouj,Ibxouj,True
Pdgv,Pdgv,True
Cwjcya,Cwjcya,True
Bzygxpj,Bzygxpj,True
Cfhuc,Cfhuc,True
psDKlwx,psDKiwx,False
Vfaqkyr,Vfaqkyr,True
Lcmw,Lcmw,True
BJyJscC,BJyJscG,False
lROz,lROz,True
Jeilit,Jeiit,False
nOxodl,nOxQdi,False
VukpQl,VukpQl,True
Hiycgun,Hiycgun,True
Lfxx,Lfxx,True
Mrktx,Mrktx,True
mujfkB,hujfkB,False
StjfaLg,zLfaLg,False
Yezdj,Yezdj,True
DasOdzM,DosOdzM,False
Wcli,Wcli,True
qvpZvzW,dvPpZvzW,False
Dvyxd,Dvyxd,True
yPLVwg,JPLvwg,False
Mqceldr,Mqceldr,True
Vvyyyqq,Vvyyyqq,True
Pviwq,Pviwq,True
Yyprvit,Yyprvit,True
Cuaz,Cuaz,True
Gqogzy,Gqogzy,True
eUXRWi,eUXRWl,False
Qesbfcu,Qesbfcu,True
Mbytdk,Mbytdk,True
KvvoxA,KvvoxA,True
Rxiabiz,Rxiabiz,True
Blxlg,Blxlg,True
ralkZ,ralkZ,True
aaLAxe,oaLAxe,False
IijaEpB,iJoEpB,False
Psdb,Psdb,True
Cbwftuz,Cbwftuz,True
yTUL,yTUL,True
wIOZ,wIOZ,True
Veih,veh,False
Tgogws,Tgogws,True
gzfjlh,Bzfjlh,False
njQI,qJQl,False
Efscyw,Efscyw,True
Ebszoq,Ebszoq,True
Qvrb,Qvrb,True
Lafe,Lafe,True
ipFLNBa,lpFLBa,False
VyBa,VyBa,True
Gvvoyx,Gvvoyx,True
Hekkqbg,Hekkqbg,True
JbtLV,jbfLV,False
Zjfnia,Zjfnia,True
Ygpfol,Ygpfol,True
KfNMcMw,KFNMeMw,False
Ygblee,Ygblee,True
GZvNGj,cZvNGj,False
Skud,Skud,True
Fcxwlbx,Fcxwbx,False
Uqoxtt,Uqoxtt,True
Mftl,Mftl,True
dmEGPyZ,dmEGPyz,False
ceNbG,ceNbG,True
Chgxmeu,Chgxmeu,True
IAEWPH,kAEwpA,False
Hlcl,Hlcl,True
LeGdJ,kzGU,False
egtQwU,BgtOwU,False
Zkfcmnp,Zkfcmnp,True
Yqzujea,Yqzujea,True
Paklb,Paklb,True
muuhzZK,qqhzZR,False
HaWxGER,haWxGER,False
srGAuYR,SrGAuYR,False
Koimxap,Koimxap,True
Oejx,Oejx,True
Svjwlt,Svjwlt,True
Fdmmtxb,Fdmmtxb,True
vHQmhKL,vHQmkKL,False
Mnhewv,Mnhewv,True
Hujdh,Hujdh,True
xPWeM,wPWeN,False
iWNpcAf,iWNpcAf,True
Sjeuxfz,Sjeuxfz,True
nNWYkhB,nKMYkhB,False
Ptkyr,Ptkyr,True
Ijbluxl,Ijbluxl,True
Hifkzgk,Hifkzgk,True
KDvdZkK,KDvdfkK,False
Icwldec,Icwdec,False
VmOnK,VmOnK,True
pReR,pReR,True
Cuxmzt,Cuxmzt,True
UikiF,ULkiF,False
Pwnrdks,Pwnrdks,True
FtYPcng,FtYPcng,True
Hbfjvx,Hbfjvx,True
Uhxana,Uhxana,True
GqpzeqU,cqpzeqU,False
Diilvax,Diilvax,True
Nack,Nack,True
VuOhVr,VuOhVr,True
bhFg,bhFg,True
aqlpy,aqlpy,True
Kxttkn,Kxttkn,True
dwDQZA,dwDQZA,True
QQMExH,OonEzH,False
AqmD,AnnD,False
exaIUMP,axaIUMP,False
Zdzay,Zdzay,True
Kqnwguv,Kqnwguv,True
Yxkj,Yxkj,True
gNHYnfw,gNHnfw,False
Pusvl,Pusvl,True
woQkHMA,woQkHMA,True
CJxK,cJxK,False
MQOnK,MQDnK,False
nbsC,nbsC,True
Pcxopas,Pcxopas,True
dOMLD,dOMLD,True
XYJvc,XYJvc,True
Gfwxw,Gfwxw,True
Ilas,Ilas,True
FMfmNC,PWfmNG,False
jiFDeFJ,jiFDeFJ,True
mczOdI,nczOdI,False
RpzMRWa,pzMRWo,False
Pylrvjm,Pylrvjm,True
Uyxe,Uyxe,True
Pdeaha,Pdeaha,True
lvEtlMc,lvEiiMc,False
BjRsy,BJRsy,False
GaoYUN,caoVUN,False
HqRozy,hqRozy,False
yZZv,yZZv,True
qnkdhA,qnkdhA,True
Rmjxgyl,Rmjxgyl,True
VnTHz,vWCH,False
aKWEWS,oKWEWS,False
oKTk,aKTk,False
LYoOpt,kYoOpI,False
Rfav,Rfav,True
fGQQJR,fzQQJR,False
vpck,VpGk,False
Ilzbtet,Ilzbtet,True
Kbapjol,Kbapjol,True
Enajc,Enajc,True
Hddckur,Hddckur,True
YtOv,rtOv,False
RNAHfP,RNkMPP,False
cWzcT,eWzeT,False
Rfeg,Rfeg,True
Oheoe,Oheoe,True
Lipteb,Lipteb,True
Ykhsn,Ykhsn,True
Sjmj,Sjmj,True
Hadkhpm,Hadkhpm,True
NKnf,NKnf,True
Otoa,Otoa,True
Rsiaepf,Rsiaepf,True
Xdewq,Xdewq,True
yUbce,yUbce,True
QwlKA,QwlKA,True
SuhqE,SqhqE,False
Tyei,Tyei,True
Vaypkp,Vaypkp,True
KieteXW,KeteXWw,False
Vfqlu,Vfqlu,True
Ujjst,Ujjst,True
Gcjnwm,Gcjnwm,True
yVRLmwL,yVFLmwL,False
Sbmcfns,Sbmcfns,True
Xxfvy,Xxfvy,True
Pgnny,Pgnny,True
yWCVIJ,yWCyIJ,False
Wptvyvv,Wptvyvv,True
Ikxxal,Ikxxal,True
KiXJoZ,KiXdoZ,False
cxzkXZ,CxzkXZ,False
Doqvh,Doqvh,True
wliWt,wIWt,False
Wpuq,Wpuq,True
bRSp,bRSp,True
Ccesrn,Ccesrn,True
Ooajqpf,Ooajqpf,True
Nnpca,Nnpca,True
Urpaggp,Urpaggp,True
Ckmwnvl,Ckmwnvl,True
fVuQMKs,fVuQMKs,True
CLVVwFz,CLVVwFz,True
bYPP,bYpp,False
Wtjp,Wtjp,True
oywfU,DywfU,False
Elnmuic,Elnmuic,True
Ktez,Ktez,True
Pesoue,Posoue,False
Bxhoy,Bxhoy,True
Jroplyd,Jroplyd,True
Jghtl,Jghtl,True
LcVL,kcVL,False
lvVovV,lvVovV,True
VWPNqW,VMPNqN,False
Snuwug,Snuwug,True
Gimwmm,Gimwmm,True
SDVwuN,SDVwuN,True
wwJsk,auJst,False
SsLZ,SeLZ,False
ETxIgFc,ETxoFc,False
HqwlHec,HqwlHee,False
bPcOpt,bPcOpt,True
Jpbugoa,Jpbugoa,True
Emgnd,Emgnd,True
Fjej,Fjej,True
Phgqj,Phgqj,True
Jvpvco,Jvpvco,True
GveBKs,eveBKs,False
IBErzNf,iBErzNf,False
qGOf,aGOf,False
brlgWr,brlBWn,False
lmPKlF,kmPKiF,False
Idfi,Idfi,True
Cryukpd,Cryukpd,True
Zgtolo,Zgtolo,True
Bhnrq,Bhnrq,True
MLlRpKV,WLlRpKv,False
skPe,BkPa,False
PLrlP,PLFjP,False
Qptuttx,Qptutx,False
NjKR,NjKR,True
Akrwzpr,Akrwzpr,True
Hvsimhn,Hvsimhn,True
Wvqcs,Wvqcs,True
Asrt,Asrt,True
Legi,Legi,True
XqEwfkI,XqEwfkI,True
Yhuan,Yhuan,True
Tokwoh,Tokwoh,True
Jvff,Jvff,True
foSTuM,foSTuM,True
Pmqdzuh,Pmqdzuh,True
Umguhkj,Umguhkj,True
DZgjl,DZgjI,False
Eqwujpd,Eqwujpd,True
DEiyYob,DEyYob,False
FbmdJc,FbmdJc,True
ivZh,ivZh,True
Jspaolj,Jspaolj,True
YyEqHK,YyEqHK,True
Fqyp,Fqyp,True
XIqdn,Xlqdn,False
dDZpcns,cDZpcns,False
Rcdtcxi,Rcdtcxi,True
lMbnzjc,iMbnzc,False
Rjwur,Rjwur,True
Goyj,Goyj,True
lMQVj,lMQVj,True
hIFr,RIFr,False
Sfunu,Sfunu,True
GJwA,pJwA,False
AVHObn,AVHObn,True
ZuzcYUP,ZuzcYUP,True
Xcpm,Xcpm,True
oAtC,oAfC,False
DAyPV,DAyPV,True
qjGUjQe,QjGUjQe,False
Bejtczu,Bejtczu,True
xQyD,XQyD,False
IwdnHfA,lwdnHfA,False
MNom,qNon,False
zSrzqp,sSrzdp,False
RHiH,RHiH,True
Xqdim,Xqdim,True
Yvacall,Yvacall,True
Zillali,Kilali,False
Zsrhyv,Zsrhyv,True
FQkA,fQkA,False
wyuA,wyuA,True
sicNvSJ,SiNvESJ,False
VZVTiSV,VZVTiSV,True
Nbtmlni,Nbtmlni,True
JXGJL,jXGJL,False
Kvugy,Kvugy,True
Tpkllq,Tpkllq,True
JnRUQ,jnRUQ,False
Ellzt,Elzt,False
Uoyl,Uoyl,True
yxPux,VxPux,False
Bfbocsd,Bfbocsd,True
hkrzo,hkrzo,True
AUeN,AUeN,True
Agtbe,Agtbe,True
fNseyZ,RNseyZ,False
ecdR,ecdR,True
DNRzey,DNRzoy,False
xiPNH,xzPNA,False
Snyg,Snyg,True
ClFpb,CIFpb,False
Rhva,Rhva,True
Ewrlnvb,Ewrlnvb,True
zVGubr,zVGubr,True
Dubkl,Dubkl,True
GdjxV,cdjxv,False
Jogpic,Jogpic,True
jVPmS,JVPmS,False
Dnqoth,Dnqoth,True
Chtyl,Chtyl,True
zERLkv,sERtkv,False
Zcdptyc,Zcdptyc,True
XulexRa,XuaRa,False
PbTFVkT,PbTFVkT,True
geJtBjP,BoJTGjP,False
EREmLC,EREnLC,False
HiWu,hWu,False
bXDRoUB,bXDRoUB,True
Alny,Alny,True
MKLyVME,NKLyVME,False
Bbadw,Bbadw,True
Dftcc,Dftcc,True
Wvajfey,Wvajfey,True
TIMstq,TlMstQ,False
dEMDtO,QEMDID,False
FbvTP,FbvTP,True
Yntq,Yntq,True
qXEKHfA,qXEKHfA,True
Bqff,Bqf,False
CyAu,CyAu,True
Xmozva,Xmozva,True
QTOIOgx,cTOXOgx,False
Iayung,Iayung,True
fmGuFTe,fmGuPTe,False
Mhunb,Mhunb,True
Jqtkb,Jqtkb,True
Qbby,Qbby,True
Kqufgp,Kqufgp,True
KleL,KleL,True
gAjpgyy,eAjpeyy,False
CHosxL,sHosxL,False
Ofnref,Ofnref,True
Upbzec,Upbzec,True
Elqks,Elqks,True
Ynhdwny,Ynhdwny,True
Jwzt,Jwzt,True
Fnqch,Fnqch,True
Yfowou,Yfowou,True
Ykqgzzz,Ykqgzzz,True
eVPEyE,eVPEyE,True
Sohbar,Sohbar,True
jairXn,jairXn,True
Lbpjhq,Lbpjhq,True
Xplirar,Xplirar,True
Oaklab,Oaklab,True
SOWH,SOWr,False
Krct,Krct,True
Efscaf,Efscaf,True
Qjgfy,Qjgfy,True
aXbt,aXbt,True
Zoslp,Zoslp,True
Nuujda,Nuujda,True
EyEs,EyEs,True
Hhuf,Hhuf,True
cYLq,eYLq,False
Bekbdz,Bekbdz,True
QJVtkYY,QJVfkYY,False
WrHIGqZ,unrHIGoz,False
Qexfps,Qexfps,True
Nyfytkq,Nyfytkq,True
Yaxtmdv,Yaxtmdv,True
Orgmwj,Orgmwj,True
PdiI,PdiI,True
Jgwwn,Jgwwn,True
Opdncoq,Opdncoq,True
ezmc,BzmG,False
mIwn,mfIwm,False
Dzxizwy,Dzxizwy,True
PwqW,PwqW,True
Kwykbie,Kwykbie,True
Flzm,Flzm,True
VeUs,veUs,False
Icyw,Icyw,True
Yugihz,Yugihz,True
Bxyc,BxyG,False
hPBuO,hPBuO,True
Wsck,Wsck,True
Dwknu,Dwknu,True
Vhgqw,Vhgqw,True
Zyjngm,Zyjngm,True
Scffz,Scffz,True
Ymenzm,Ymenzm,True
Heyudxt,Heyudxt,True
Gccf,Gccf,True
IxqD,kxqD,False
PYqnKj,pYqnKj,False
fJTdKt,FJTdKt,False
lkiwRb,lkiwyRb,False
FZtkX,PZtkX,False
LehCbYA,lchGbnA,False
BoPpA,BoPpA,True
UzCE,vzCE,False
FpPl,PpPl,False
Rafgsp,Rafgsp,True
Moxqql,Moxqql,True
khiOp,khioP,False
Mzjygha,Mzjygha,True
Ycvzpuj,Ycvzpuj,True
crABQh,crABQOh,False
Xhwxob,Xhwxob,True
Xqjm,Xqjm,True
Bsvlo,Bsvlo,True
Rigbmgp,Rigbmgp,True
Itqr,Itqr,True
Izdsnwm,Izdsnwm,True
tSyGJW,tSCsW,False
LLvIhm,LLvIhm,True
Aubumw,Aubumw,True
Ufrf,Ufrf,True
caxrqhq,cgxrqhq,False
Csxrbci,Csxrbci,True
YKrHU,rKrHU,False
aqqa,aqqa,True
KeMo,KcMa,False
Grcswr,Grcswr,True
Zvxl,Zvxl,True
Sdwvat,Sdwvat,True
Eqmpqr,Eqmpqr,True
Jlys,Jlys,True
Ctwwmgz,Ctwwmgz,True
Ouhu,Ouhu,True
Xhrnkjw,Xhrnkjw,True
ITkq,Trkq,False
Jkoprcg,Jkoprcg,True
nKoBgjS,nKoBgjE,False
oyRe,oyRe,True
LNTBeMZ,LNTBeMz,False
bAbd,bAbd,True
Pnoajy,Pnoajy,True
Njxd,Kxd,False
Qtsmnn,Qtsmnn,True
QknzfuJ,QknzFuJ,False
Grgx,Grgx,True
YJVAFY,YuVAFY,False
rLCxgCS,rLCxgCS,True
XGDSI,XGOSl,False
Esaqvon,Esaqvon,True
tLVOv,tLVOy,False
yzTVdn,yzTVdn,True
ebXfWQs,ebXFWQs,False
Flvozzy,Flvozzy,True
MSCb,MSCb,True
Kwjgsqt,Kwjgsqt,True
XDdl,XDdl,True
Ggbk,Egbk,False
fdzN,FdzN,False
nsFuV,nsFuV,True
Itclezr,Itclezr,True
Mkitzx,Mkitzx,True
gBykEl,aByKEG,False
RzbxJ,RzbcJ,False
UiTc,UiTe,False
eIudN,gludN,False
Hklq,Hlq,False
XFAQiS,XFAQiS,True
FBSHOOy,FBSHDOy,False
sBMyR,sBMyR,True
jhNZ,jhNZ,True
Hqhaw,Hqhaw,True
KIBTw,KIBTw,True
BKea,BKea,True
jQitfst,jQiffsI,False
Fslznxc,Fslznxc,True
Xbczp,Xbczp,True
Qsfpfup,Qsfpfup,True
Xavszi,Xavszi,True
DwoTe,bwyoTe,False
RSJM,RSJM,True
BnYW,BnYWw,False
zaKRD,zaKRD,True
Rvzr,Rvzr,True
hdgAYBo,hdoAYDo,False
Tddz,Tddz,True
QdtgNj,QdtgNj,True
Grnwh,Grnwh,True
Fyqxvjn,Fyqxvjn,True
Bxtzhc,Bxzhc,False
Vjua,Vjua,True
fLhOFM,FthOFM,False
Mfhod,Mfhod,True
Unxtjf,Unxtjf,True
Ehhb,Ehhb,True
Tqdxw,Tqdxw,True
HZxFH,hZxFH,False
ItmU,ItmU,True
Izynvo,Izynvo,True
BQaxqoT,BOaxqoT,False
EGIxQW,EGIxQW,True
Jbac,Jbac,True
Abpl,Abpl,True
Pyhkzw,Pyhkzw,True
vhIcM,uhIaA,False
LikWlD,LikWlD,True
MHacctf,MHacctf,True
XQfRWXV,XOfRWXV,False
Ckao,Ckao,True
UVGT,UVGT,True
urvqk,urvdk,False
mVET,nVET,False
Otyfw,OtYfw,False
Sqfdsd,Sqfdsd,True
faexVu,FaexVu,False
Dvlf,Dvlf,True
Ljrx,Ljrx,True
MggZput,MggZput,True
wQIyN,vyOIyN,False
Zsxn,Zsxn,True
Kzemgbn,Kzemgbn,True
Arfld,ArfId,False
Qfxrdpe,Qfxrdpe,True
WZTy,WZTy,True
PuVzIm,PuWzlm,False
Vaanews,Vaanews,True
Lbub,Lbub,True
GYjz,GYjz,True
FFAWOr,EFAWOr,False
Suiz,Suiz,True
Zkdeevo,Zkdeevo,True
Rydp,Rydp,True
HqRGLV,hqRGLV,False
TaIl,faH,False
Flvoig,Flvoig,True
RJVsIir,EjVSr,False
ZXlgj,ZXtgj,False
Wgxjkvo,Wgxjkvo,True
PVnNa,PVnNa,True
Mqil,Mqil,True
Mwoh,Mwoh,True
Hhnfp,Hhnfp,True
Suzg,Suzg,True
Vjixu,Vjixu,True
crQHFK,crQHFK,True
Pmihn,Pmihn,True
iBGPHok,lBGPHok,False
JBnejEh,JBnoJEh,False
Mllch,Mlch,False
Mhlabd,Mhlabd,True
Stvhmrm,Stvhmrm,True
ZNJqc,ZNJoc,False
Vqsjx,Vqsjx,True
NAwCL,NAwcL,False
GiFe,ciFo,False
Qnlfzow,Qnlfzow,True
ZnOPMZ,ZnOPMZ,True
eCXYWbd,eCXYMbd,False
HJYL,KJYL,False
hJje,hJje,True
Zqzzz,Zqzzz,True
blnGDTT,blnGDTT,True
KNnYW,KNnYM,False
Oggfg,Oggfg,True
Eeyfnmo,Eeyfnmo,True
Amzvd,Amzvd,True
kCVxZ,kCVxZ,True
Zudqoe,Zudqoe,True
Mcenglz,Mcenglz,True
wRrhgG,uRrhgsG,False
RvhYg,RvhYs,False
Okknhc,Okknhc,True
Ktbqj,Ktbqj,True
YzMrb,YzMrb,True
MxeSWrM,NxeSWrM,False
bqPYh,bqPYh,True
Qnis,Qnis,True
kpmAIZo,tpnAIZo,False
Yqqh,Yqqh,True
Ahyl,Ahyl,True
Bvdwo,Bvdwo,True
CCzL,ECzL,False
nufC,nuC,False
rxkc,rxkg,False
uGgfE,uGgfE,True
KkPAkQs,KkPqkOs,False
SjtNG,sjAB,False
IEUhsSa,kEUhsSa,False
Gssle,Gssle,True
YKIgHSz,rKIgHSz,False
mNCHHrg,nNGCHHpg,False
grmScxz,BnrmScxKz,False
Ptfy,ptfy,False
fqvcQGf,EqveQGf,False
tADxIom,KADxIom,False
Ugiip,Ugiip,True
Nzewzv,Nzewzv,True
Ndjm,Ndjm,True
hUQhkPC,kUQkkPC,False
Qnjq,Qnjq,True
Cnxolpa,Cnxolpa,True
Gjnou,Gjnou,True
aEKt,aEKI,False
Kelcf,Kelcf,True
Mskmi,Mskmi,True
Oloa,Dloa,False
rDAmU,EDAnU,False
KDiaO,KDiaO,True
Uinfxl,Uinfxl,True
Wjcx,Wjcx,True
Dogzg,Dogzg,True
SkrGMn,BkrGMn,False
Adauuma,Adauuma,True
dhaKn,dhaKn,True
Gziwrje,Gziwrje,True
Sucq,Sucq,True
ggeHL,aasHL,False
tlyZM,IIyZM,False
Ndvpi,Ndvpi,True
Dgazxf,Dgazxf,True
JYJi,JYg,False
Qqcnhaq,Qqcnhaq,True
NgiiQga,NBitQso,False
Wudbiz,Wudbiz,True
Chusz,Chusz,True
thFcqlh,IhFcalh,False
Rnmv,Rnmv,True
Rrtca,Rrca,False
BGMCJQD,BGMGJQD,False
Wrjoc,Wrjoc,True
Vbfga,Vbfga,True
nnrMRGS,nnrMRGS,True
ZiNDe,ZiNDe,True
Vaapbbs,Vaapbbs,True
ajTPWP,ujTPWP,False
JEJr,JEJr,True
XBKQ,XBKQ,True
rnobFD,FnobFD,False
pXrMpQ,pXrMpQ,True
GJfV,GJfV,True
VyKPnyr,VyKPnvr,False
Gqop,Gqop,True
yTBP,yTBP,True
uajvl,Uojvl,False
gYiZtE,BYjiZrE,False
llkWrV,ilkWrV,False
jrJlLgn,jrJILgn,False
Tqefrc,Tqefrc,True
GbRaP,GbRaP,True
Exjwak,Exjwak,True
Osili,Osii,False
Qvdhqc,Qvdhqc,True
Bgkpmqz,Bgkpmqz,True
Rbgj,Rbgj,True
Inscoiw,Inscoiw,True
Adusfgv,Adusfgv,True
VlZe,VlZe,True
Nhlte,Nhlte,True
Ifsmxnz,Ifsmxnz,True
Xzediz,Xzediz,True
wZPh,wzPh,False
euVF,euVF,True
Dchyj,Dchyj,True
OSyhy,QSyhy,False
zYRrpoW,ZYRrpoW,False
EfDpn,EfDon,False
Tguoju,Tguoju,True
Jupowsl,Jupowsl,True
Zevsrt,Zevsrt,True
Uodgr,Uodgr,True
paTSGKo,peTSGKo,False
Yunasas,Yunasas,True
bnCSzp,bnCSzp,True
kvRlO,kvRiO,False
Zcek,Zcek,True
Fiii,Fii,False
Mgeem,Mgeem,True
Jgqpkcj,Jgqpkcj,True
Xzxoxw,Xzxoxw,True
gBKLLvu,BBXLLvu,False
svtitFq,SvtifFq,False
MSgrb,MSBrb,False
ZIROmlj,ZIRonlj,False
Zcznbv,Zcznbv,True
IzhoU,kshaq,False
zkfP,zkfP,True
Gvobgsk,Gvobgsk,True
FEIu,PEIu,False
Iqmysqd,Iqmysqd,True
Wzhnkk,Wzhnkk,True
Mqtcly,Mqtcly,True
jSyp,ISyp,False
oRJL,oRJL,True
Ljgtdgf,Ljgtdgf,True
Idhjz,Idhjz,True
Xjzk,Xjzk,True
Hhlft,Hhlft,True
Ungkvc,Ungkvc,True
PstGpQ,psIGpQ,False
Cmrfxx,Cmrfxx,True
Airs,Airs,True
Tccsm,Tccsm,True
wROyUHn,wROyUHn,True
Lrngae,Lrngae,True
wPGnzJr,uPGnzJr,False
IvqUT,lvqUT,False
Frekgkw,Frekgkw,True
Npzmp,Npzmp,True
Tmxbh,Tmxbh,True
OriVm,OriVm,True
MIXEz,kIXEz,False
Jpwop,Jpwop,True
WNHA,UNHA,False
PTWPc,PTWPc,True
wXHNSY,WXHNSY,False
nWcuGEO,nMsuCFD,False
Dbka,Dbka,True
aYwh,aYwh,True
Nmrs,Nmrs,True
Tblfc,Tblfc,True
GUYwAuM,cUYwAuM,False
Fooh,Fooh,True
EQTSyqo,EQTSyqo,True
XCrXdp,XCrXdp,True
Etre,Etre,True
Ejzmukv,Ejzmukv,True
uppoDv,uppoDv,True
bfkvon,bfkVon,False
Sctwv,Sctwv,True
ozivv,ozivv,True
Zkrwu,Zkrwu,True
Anahb,Anahb,True
TyWidW,TyWidW,True
TAlwjy,TAlwy,False
UmPbVez,UmnPbVez,False
bNWHOZ,bNWHOZ,True
Vsend,Vsend,True
jnRbE,jnRbE,True
Vgtptd,Vgtptd,True
Ubccpgl,Ubccpgl,True
Kyuq,Kyuq,True
Sutbhl,Sutbhl,True
bFqgJD,bFqBJD,False
Gtkobk,Gtkobk,True
HygJlN,hyazIA,False
IVEXUd,iVFXud,False
SFDvVqk,SFDvVak,False
Stqz,Stqz,True
NaKNkpO,NoKNkpO,False
Arict,Arict,True
Xigmdx,Xigmdx,True
Qjtgk,Qjtgk,True
Qerelh,Qerelh,True
Leyzn,Leyzn,True
oDTTVQ,oDTTVQ,True
Fvuxtgo,Fvuxtgo,True
Xnmh,Xnmh,True
Tjkehfw,Tjkenfw,False
jMfYLoL,jMfYLoL,True
Xjndpv,Xjndpv,True
hHnAE,kHnAE,False
Mvxgo,Mvxgo,True
xaXGlo,WoXGlo,False
Krec,Krec,True
Zeufy,Zeufy,True
Fbunyfc,Fbunyfc,True
Tnjjyrg,Tnjyrg,False
EHkAOQg,PHkADQg,False
PRaig,pRqig,False
Hocgk,Hocgk,True
Qliy,Qly,False
Ipbkj,Ipbkj,True
Qhzmqo,Qhzmqo,True
Tqqiocz,Tqqiocz,True
Fzfhbpq,Fzfhbpq,True
